Benchmark,Device,Device Name,Duration,Kramble,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Batch GPU (sec),Batch,In,Out
runtime_skip,0,Quadro GV100,0,Foo,No,148083,1.0558313054165725e-05,0.03460045726144196,4.411147755695762e-06,0.10691914249190457,2.086331167986729e-06,239683,,
runtime_skip,0,Quadro GV100,0.00025,Foo,No,1967,0.00026056515149974605,0.001785414177412443,0.0002542243968822252,0.0022747905334427393,0.0002519049829290819,2064,,
runtime_skip,0,Quadro GV100,0.0005,Foo,Yes,,,,,,,,,
runtime_skip,0,Quadro GV100,0.00075,Foo,Yes,,,,,,,,,
runtime_skip,0,Quadro GV100,0.001,Foo,Yes,,,,,,,,,
runtime_skip,0,Quadro GV100,0,Bar,No,147976,1.0477963967129967e-05,0.05193537216616394,4.309996180719637e-06,0.09631511021814754,2.1032374904355167e-06,237900,,
runtime_skip,0,Quadro GV100,0.00025,Bar,No,1967,0.0002606047381799697,0.004402412277520235,0.00025425122354802296,0.0019316173072071725,0.00025190548564112467,2064,,
runtime_skip,0,Quadro GV100,0.0005,Bar,No,993,0.0005103389546827793,0.0009044135054133329,0.0005038951597545129,0.0009132341980037791,0.0005017609577982818,1044,,
runtime_skip,0,Quadro GV100,0.00075,Bar,No,664,0.0007602315828313258,0.0012393600029445503,0.0007537762098104041,0.0006523899466894487,0.0007516189640871593,697,,
runtime_skip,0,Quadro GV100,0.001,Bar,No,499,0.0010100405511022032,0.0004675770563736675,0.0010036521122785227,0.000506242755428486,0.0010014759304418617,523,,
runtime_skip,0,Quadro GV100,0,Baz,Yes,,,,,,,,,
runtime_skip,0,Quadro GV100,0.00025,Baz,Yes,,,,,,,,,
runtime_skip,0,Quadro GV100,0.0005,Baz,Yes,,,,,,,,,
runtime_skip,0,Quadro GV100,0.00075,Baz,Yes,,,,,,,,,
runtime_skip,0,Quadro GV100,0.001,Baz,No,499,0.0010100214969939881,0.0004890967396052713,0.0010036210096431835,0.0005031795348101782,0.001001475909284053,524,,
runtime_skip,1,Quadro GP100,0,Foo,No,152833,7.790139459409939e-06,0.052486926520143126,3.0540317811368876e-06,0.041965307035547426,1.3476766561262745e-06,371096,,
runtime_skip,1,Quadro GP100,0.00025,Foo,No,1977,0.0002577336697015675,0.0016745726043248602,0.0002530303939943309,0.0012463205002970757,0.0002519046914100187,2073,,
runtime_skip,1,Quadro GP100,0.0005,Foo,Yes,,,,,,,,,
runtime_skip,1,Quadro GP100,0.00075,Foo,Yes,,,,,,,,,
runtime_skip,1,Quadro GP100,0.001,Foo,Yes,,,,,,,,,
runtime_skip,1,Quadro GP100,0,Bar,No,152569,7.89847543734305e-06,0.060900564134115376,3.1315013016758387e-06,0.06800325272918997,1.4410427557047706e-06,346971,,
runtime_skip,1,Quadro GP100,0.00025,Bar,No,1977,0.00025772118614061663,0.0027168225148294085,0.0002530340679558949,0.0012784718063768952,0.0002519045087617526,2074,,
runtime_skip,1,Quadro GP100,0.0005,Bar,No,995,0.0005076002613065325,0.0008452471055542708,0.0005028815761283412,0.0006166721165867504,0.0005017611416903409,1045,,
runtime_skip,1,Quadro GP100,0.00075,Bar,No,665,0.0007574173563909778,0.0005404728977728138,0.0007527303210774766,0.00042097281680210553,0.0007516172567547905,698,,
runtime_skip,1,Quadro GP100,0.001,Bar,No,499,0.0010073301743486979,0.0004181556191860385,0.0010026005258063262,0.0003018745447224176,0.0010014736961772425,524,,
runtime_skip,1,Quadro GP100,0,Baz,Yes,,,,,,,,,
runtime_skip,1,Quadro GP100,0.00025,Baz,Yes,,,,,,,,,
runtime_skip,1,Quadro GP100,0.0005,Baz,Yes,,,,,,,,,
runtime_skip,1,Quadro GP100,0.00075,Baz,Yes,,,,,,,,,
runtime_skip,1,Quadro GP100,0.001,Baz,No,499,0.0010072666492985964,0.0004034748822624355,0.0010025921845006082,0.0002988324879359347,0.001001474511532383,524,,
skip_overload,0,Quadro GV100,,,Yes,,,,,,,,I32,I32
skip_overload,0,Quadro GV100,,,No,499,0.0010101158116232471,0.00045457872179042216,0.00100363749086498,0.0004920954065745232,0.001001477914376195,523,I32,I64
skip_overload,0,Quadro GV100,,,No,499,0.0010100936012024046,0.0004656012199546097,0.0010036259481089817,0.00048536100052596265,0.0010014759304418617,523,I64,I32
skip_overload,0,Quadro GV100,,,Yes,,,,,,,,I64,I64
skip_overload,1,Quadro GP100,,,Yes,,,,,,,,I32,I32
skip_overload,1,Quadro GP100,,,No,499,0.0010072941002004009,0.00039832922996069914,0.0010025732686858855,0.0003053582386332306,0.0010014733467393249,524,I32,I64
skip_overload,1,Quadro GP100,,,No,499,0.0010072575310621243,0.0004222831525597227,0.0010025880217313281,0.0003175275654782765,0.001001473929135854,524,I64,I32
skip_overload,1,Quadro GP100,,,Yes,,,,,,,,I64,I64
skip_sfinae,0,Quadro GV100,,,No,499,0.0010101381663326664,0.0004740828150298835,0.0010036533932408684,0.0005311247776469751,0.001001475909284053,524,I8,I8
skip_sfinae,0,Quadro GV100,,,No,499,0.0010101366533066124,0.0004762668191055286,0.0010036824432785813,0.0005225074502850834,0.001001475909284053,524,I8,I16
skip_sfinae,0,Quadro GV100,,,No,499,0.0010101454048096201,0.00045304078278456247,0.0010037151510586427,0.0005255710579717081,0.0010014777976741756,523,I8,I32
skip_sfinae,0,Quadro GV100,,,No,499,0.001010251853707415,0.0004599262349912718,0.001003687190388386,0.0005303166463057176,0.001001477889432252,524,I8,I64
skip_sfinae,0,Quadro GV100,,,Yes,,,,,,,,I16,I8
skip_sfinae,0,Quadro GV100,,,No,499,0.0010102188396793595,0.0004716222422331537,0.0010036723759465746,0.0004916019059506635,0.0010014759304418617,523,I16,I16
skip_sfinae,0,Quadro GV100,,,No,499,0.0010101248837675358,0.0004725693580783232,0.0010036886648567929,0.0005032992730078731,0.0010014777729529462,524,I16,I32
