Benchmark,Device,Device Name,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Batch GPU (sec),Batch,Duration,BlockSize (pow2),BlockSize,NumBlocks (pow2),NumBlocks,Elem/s (elem/sec),GlobalMem BW (bytes/sec),BWPeak,T,In,Out,Items,InSize (bytes),OutSize (bytes)
simple,0,Quadro GV100,No,499,0.0010102518997995992,0.0005320863289715677,0.0010037636295826922,0.0005606955085401353,0.001001475909284053,524,,,,,,,,,,,,,,
simple,1,Quadro GP100,No,499,0.0010072372945891786,0.0004201092756117083,0.001002567436508759,0.0003010855735431417,0.001001474511532383,524,,,,,,,,,,,,,,
single_float64_axis,0,Quadro GV100,No,147957,1.0618111072811744e-05,0.03254637275181478,4.42401244240246e-06,0.1078451537144948,2.0427748176574993e-06,244766,0,,,,,,,,,,,,,
single_float64_axis,0,Quadro GV100,No,4831,0.00011004767191057754,0.004150807794866266,0.00010351461256001611,0.004781428015913556,0.00010137620362095862,5088,0.0001,,,,,,,,,,,,,
single_float64_axis,0,Quadro GV100,No,2453,0.00021036899388503913,0.002247040450593631,0.0002039032309542721,0.0024717338672984117,0.00020172918129115027,2582,0.0002,,,,,,,,,,,,,
single_float64_axis,0,Quadro GV100,No,1648,0.00030986622087378617,0.0014834014227566264,0.0003034121238635499,0.0016613620256970604,0.00030116395027406757,1736,0.00030000000000000003,,,,,,,,,,,,,
single_float64_axis,0,Quadro GV100,No,1239,0.0004101481057304273,0.0012074050648415652,0.000403672849583562,0.00138227314754308,0.00040141034272550807,1304,0.0004,,,,,,,,,,,,,
single_float64_axis,0,Quadro GV100,No,992,0.0005105290151209681,0.0009132925978805083,0.0005040890874881937,0.001126663137928465,0.0005017619947554283,1042,0.0005,,,,,,,,,,,,,
single_float64_axis,0,Quadro GV100,No,829,0.0006098617478890229,0.0007603582722561039,0.000603470634925204,0.0009715240544303389,0.0006011044563503441,872,0.0006000000000000001,,,,,,,,,,,,,
single_float64_axis,0,Quadro GV100,No,711,0.0007102935302390999,0.0006584784515618755,0.0007037439938168366,0.0008111324463740949,0.0007014426981064088,748,0.0007000000000000001,,,,,,,,,,,,,
single_float64_axis,0,Quadro GV100,No,622,0.000810564897106109,0.0006072346537084304,0.0008041868904587526,0.000707547745748677,0.0008017951065694391,653,0.0008000000000000001,,,,,,,,,,,,,
single_float64_axis,0,Quadro GV100,No,554,0.0009098726931407932,0.0005164841732610924,0.000903432962588876,0.0005681374617078215,0.0009011252491744524,582,0.0009000000000000002,,,,,,,,,,,,,
single_float64_axis,0,Quadro GV100,No,499,0.0010102697054108218,0.00044759296847813034,0.0010038065348932821,0.0005354727313941588,0.0010014759304418617,523,0.0010000000000000002,,,,,,,,,,,,,
single_float64_axis,1,Quadro GP100,No,152839,7.705229234684682e-06,0.05418085805591698,3.016308709558017e-06,0.04127500754098809,1.3434882326935044e-06,372166,0,,,,,,,,,,,,,
single_float64_axis,1,Quadro GP100,No,4879,0.00010715639024390229,0.004066079001791793,0.0001024813676868744,0.00308685243303526,0.0001013762513461915,5107,0.0001,,,,,,,,,,,,,
single_float64_axis,1,Quadro GP100,No,2466,0.00020754400243309012,0.0019319860083082698,0.00020283288218606642,0.0014786760562713035,0.00020172824844867798,2586,0.0002,,,,,,,,,,,,,
single_float64_axis,1,Quadro GP100,No,1655,0.00030687972205438067,0.0013377397645028726,0.00030219129368978006,0.0010508732574554497,0.00030105650589762746,1736,0.00030000000000000003,,,,,,,,,,,,,
single_float64_axis,1,Quadro GP100,No,1243,0.0004072136267095737,0.001056923897828408,0.0004025078938310397,0.0007582628414963917,0.0004014090936302682,1305,0.0004,,,,,,,,,,,,,
single_float64_axis,1,Quadro GP100,No,995,0.0005075617336683415,0.0007933683824162227,0.0005028640134849749,0.0006232695683416088,0.0005017614337245814,1045,0.0005,,,,,,,,,,,,,
single_float64_axis,1,Quadro GP100,No,831,0.0006069544103489773,0.0007196728740232229,0.0006022227483966297,0.0004991286373051354,0.0006010893901462271,873,0.0006000000000000001,,,,,,,,,,,,,
single_float64_axis,1,Quadro GP100,No,712,0.0007072545856741567,0.0005896830799502328,0.000702559235139509,0.0004401401059381315,0.0007014417189327791,748,0.0007000000000000001,,,,,,,,,,,,,
single_float64_axis,1,Quadro GP100,No,623,0.0008076356067415732,0.0005473369257973612,0.0008029095356384018,0.00040823678026317246,0.0008017940608599713,655,0.0008000000000000001,,,,,,,,,,,,,
single_float64_axis,1,Quadro GP100,No,555,0.0009069345225225232,0.0004925253150638496,0.0009022477837296215,0.0003476692854287226,0.000901123046875,582,0.0009000000000000002,,,,,,,,,,,,,
single_float64_axis,1,Quadro GP100,No,499,0.0010072963186372732,0.0004478227973886651,0.0010025936021116784,0.0003019453543048136,0.001001473230260019,524,0.0010000000000000002,,,,,,,,,,,,,
copy_sweep_grid_shape,0,Quadro GV100,No,66,0.00762213684848485,0.001421350078274123,0.007615782766631154,0.001435096779193961,0.007614612524060236,69,,2^6,64,2^6,64,8811814367.137686,70494514937.10149,0.08099094087442726,,,,,,
copy_sweep_grid_shape,0,Quadro GV100,No,206,0.0024424633495145616,0.004624145111239578,0.0024361206686612466,0.004621497870662145,0.0024339480377906972,215,,2^8,256,2^6,64,27547430167.685093,220379441341.48074,0.25319329198239976,,,,,,
copy_sweep_grid_shape,0,Quadro GV100,No,13161,0.0011122250784894763,0.012946747378394284,0.0011059346540513448,0.013016477670773642,0.0011028085603954402,13162,,2^10,1024,2^6,64,60680677428.96169,485445419431.69354,0.5577268146044273,,,,,,
copy_sweep_grid_shape,0,Quadro GV100,No,375,0.0024504410826666676,0.005006459599172983,0.0024441843128204348,0.004997852033101851,0.002444396898467488,376,,2^6,64,2^8,256,27456548038.53994,219652384308.31952,0.25235797829540385,,,,,,
copy_sweep_grid_shape,0,Quadro GV100,No,13509,0.0010829132057147126,0.00962532025494488,0.0010766412656412294,0.009687962765161975,0.0010755151240936572,13510,,2^8,256,2^8,256,62331684788.27634,498653478306.2107,0.5729015145981281,,,,,,
copy_sweep_grid_shape,0,Quadro GV100,No,15105,0.0009647508075471688,0.00509700309681285,0.0009584777770750065,0.0051422186996564374,0.0009572492433860444,15106,,2^10,1024,2^8,256,70016087597.56184,560128700780.4948,0.6435302168893552,,,,,,
copy_sweep_grid_shape,0,Quadro GV100,No,13582,0.0010768811630834938,0.007374891553423134,0.0010706156819352108,0.007408403333483488,0.0010709149855748453,13583,,2^6,64,2^10,1024,62682496746.82156,501459973974.5725,0.5761258892171099,,,,,,
copy_sweep_grid_shape,0,Quadro GV100,No,1782,0.0009628989545454543,0.004952339328546463,0.0009565676676170035,0.004999266556092292,0.0009545994625289475,1783,,2^8,256,2^10,1024,70155898293.3024,561247186346.4192,0.6448152416663824,,,,,,
copy_sweep_grid_shape,0,Quadro GV100,No,14579,0.0010004705825502492,0.019254279361810064,0.000994218452561916,0.019368874235788265,0.0009928190472480985,14580,,2^10,1024,2^10,1024,67499113325.72127,539992906605.77014,0.6203962621849382,,,,,,
copy_sweep_grid_shape,1,Quadro GP100,No,2236,0.006688950130143119,0.010949635482023172,0.006684225965911029,0.010951296261576433,0.006674802853478132,2237,,2^6,64,2^6,64,10039885596.66435,80319084773.3148,0.10970154716634999,,,,,,
copy_sweep_grid_shape,1,Quadro GP100,No,218,0.002301079724770642,0.0028902989580355323,0.0022963436360752907,0.00289533405223059,0.0022982710453501917,228,,2^8,256,2^6,64,29224225392.80601,233793803142.4481,0.31932064458922654,,,,,,
copy_sweep_grid_shape,1,Quadro GP100,No,426,0.0011791361924882624,0.003945300386512142,0.0011743737087003502,0.003937393066379565,0.0011721584260596465,449,,2^10,1024,2^6,64,57144385558.72278,457155084469.7822,0.6243923247238066,,,,,,
copy_sweep_grid_shape,1,Quadro GP100,No,226,0.00221838060176991,0.0015555610970668225,0.002213621245021314,0.00156938592170116,0.002213029949976925,237,,2^6,64,2^8,256,30316326314.149483,242530610513.19586,0.33125356549551443,,,,,,
copy_sweep_grid_shape,1,Quadro GP100,No,12933,0.0011352358293512678,0.006664341285751961,0.0011305139959895455,0.006686678312757843,0.0011301243156632502,12934,,2^8,256,2^8,256,59361373886.62687,474890991093.01495,0.6486164104745069,,,,,,
copy_sweep_grid_shape,1,Quadro GP100,No,447,0.001123642310961969,0.0021689290927995966,0.001118954880392258,0.0021631706036555243,0.001117002699110243,468,,2^10,1024,2^8,256,59974593413.87786,479796747311.0229,0.6553167986656235,,,,,,
copy_sweep_grid_shape,1,Quadro GP100,No,448,0.0011216752544642855,0.003016436766525619,0.0011169237145887954,0.0030169455335936853,0.0011148893315741358,470,,2^6,64,2^10,1024,60083659361.37964,480669274891.0371,0.6565085157493404,,,,,,
